player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Krautern+",ehyqeI4GS7,2025-08-12T18:27:01.845Z,2025-08-12T19:26:58.939Z,3000,0,0,-3000
"Krautern+",ehyqeI4GS7,2025-08-12T18:10:22.279Z,2025-08-12T18:26:03.796Z,4271,0,0,-4271
"Nitty picky",BxfYp6OeUJ,2025-08-12T17:37:40.147Z,,2000,,8596,6596
"Simen",43RLVYD2U4,2025-08-12T17:25:19.836Z,2025-08-12T19:28:41.082Z,2890,0,0,-2890
"mag",Qd4daMbTQ4,2025-08-12T17:09:53.882Z,2025-08-12T18:12:34.872Z,2000,0,0,-2000
"Lama",NHwnhDTCDx,2025-08-12T17:07:03.356Z,2025-08-12T19:02:49.413Z,2000,2394,0,394
"MAG",Qd4daMbTQ4,2025-08-12T16:44:00.833Z,2025-08-12T17:02:50.747Z,2000,0,0,-2000
"Bendik",sXG204kdid,2025-08-12T16:43:28.209Z,,2000,,5273,3273
"Bendik",sXG204kdid,2025-08-12T16:35:26.716Z,2025-08-12T16:41:03.983Z,2000,0,0,-2000
"MAG",Qd4daMbTQ4,2025-08-12T16:32:38.717Z,2025-08-12T16:42:23.506Z,2000,0,0,-2000
"Slegga",Hy3t_ASVkx,2025-08-12T16:32:38.714Z,2025-08-12T17:25:19.832Z,2000,2890,0,890
"greenguy",nfTAzRE_ZR,2025-08-12T16:32:38.711Z,,2000,,7737,5737
"Krautern",0kZMjhB-dW,2025-08-12T16:32:38.720Z,2025-08-12T18:10:22.273Z,2000,3271,0,1271
