player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Oli",Jp1Cti1Oy3,2025-08-20T19:34:12.389Z,,2000,,2296,296
"Sim1",2-qNfS9MEF,2025-08-20T19:02:29.671Z,,1206,,1850,644
"gguy",nfTAzRE_ZR,2025-08-20T18:41:37.685Z,,2555,,2995,440
"greenguy",dfrMVnW4nY,2025-08-20T18:10:59.177Z,2025-08-20T18:41:37.679Z,2000,2555,0,555
"Gøss",8D_AjLhkhA,2025-08-20T18:01:29.638Z,,2000,,3517,1517
"Gøss",8D_AjLhkhA,2025-08-20T17:02:10.515Z,2025-08-20T18:00:55.081Z,2000,0,0,-2000
"Simen",43RLVYD2U4,2025-08-20T17:02:10.506Z,2025-08-20T19:02:29.667Z,2000,1206,0,-794
"Ulrik",BRdibe6rnP,2025-08-20T17:02:10.510Z,2025-08-20T17:28:23.943Z,2000,0,0,-2000
"licky nitty",BxfYp6OeUJ,2025-08-20T17:02:10.496Z,,2000,,4944,2944
"Krautern",ehyqeI4GS7,2025-08-20T17:02:10.501Z,,3000,,1398,-1602
