player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Gøss🙂‍↕️",NHwnhDTCDx,2025-08-29T21:10:44.730Z,,2000,,5305,3305
"mag",cqPRoYf5yP,2025-08-29T21:04:09.015Z,2025-08-29T21:27:23.403Z,2000,0,0,-2000
"LassePasse",BxfYp6OeUJ,2025-08-29T20:57:22.839Z,2025-08-29T21:53:28.343Z,2000,0,0,-2000
"Oli",Jp1Cti1Oy3,2025-08-29T20:56:06.026Z,2025-08-29T21:25:33.146Z,2000,1850,0,-150
"Oli",Jp1Cti1Oy3,2025-08-29T20:28:59.841Z,2025-08-29T20:54:21.473Z,2000,0,0,-2000
"mag",cqPRoYf5yP,2025-08-29T20:27:13.456Z,2025-08-29T21:02:48.694Z,2000,0,0,-2000
"LassePasse",BxfYp6OeUJ,2025-08-29T20:27:13.461Z,2025-08-29T20:54:21.468Z,2000,0,0,-2000
"greenguy",FJ89IZnGXJ,2025-08-29T20:27:13.454Z,,2000,,5842,3842
"Gøss🙂‍↕️",NHwnhDTCDx,2025-08-29T20:27:13.458Z,2025-08-29T21:07:38.399Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-08-29T20:27:13.451Z,,2000,,7003,5003
