player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Slegga",43RLVYD2U4,2025-08-10T20:46:17.783Z,,2000,,3012,1012
"Slegga",43RLVYD2U4,2025-08-10T20:39:11.214Z,2025-08-10T20:42:23.317Z,2000,0,0,-2000
"Mag",Qd4daMbTQ4,2025-08-10T20:24:58.140Z,2025-08-10T21:01:37.527Z,2000,4012,0,2012
"Bendik",XE0rZldDsc,2025-08-10T20:23:42.121Z,2025-08-10T20:47:12.593Z,2000,2311,0,311
"Mag",Qd4daMbTQ4,2025-08-10T20:22:23.331Z,2025-08-10T20:23:42.105Z,2000,0,0,-2000
"Greenguy",dfrMVnW4nY,2025-08-10T20:19:51.435Z,,8769,,9703,934
"Slegga",43RLVYD2U4,2025-08-10T20:17:47.321Z,2025-08-10T20:37:41.225Z,3355,0,0,-3355
"Lama",NHwnhDTCDx,2025-08-10T19:34:39.266Z,,2000,,4724,2724
"Simen",cC-COT61RC,2025-08-10T19:34:39.269Z,2025-08-10T20:23:42.115Z,2000,3355,0,1355
"greenguy",vtBl0rylWQ,2025-08-10T18:47:59.706Z,2025-08-10T20:23:42.109Z,2000,8759,0,6759
"greenguy",vtBl0rylWQ,2025-08-10T18:10:33.564Z,2025-08-10T18:46:53.031Z,2000,0,0,-2000
"Lama",NHwnhDTCDx,2025-08-10T18:10:33.561Z,2025-08-10T19:30:14.663Z,4000,0,0,-4000
"Krautern",ehyqeI4GS7,2025-08-10T18:10:33.567Z,,2000,,4248,2248
"Viffern",BRdibe6rnP,2025-08-10T18:10:33.557Z,2025-08-10T19:31:29.995Z,2000,0,0,-2000
"Slegga",43RLVYD2U4,2025-08-10T18:10:33.550Z,2025-08-10T19:12:21.311Z,2000,0,0,-2000
