player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Tarriern",BRdibe6rnP,2025-06-18T22:20:32.281Z,2025-06-18T23:16:48.773Z,2000,0,0,-2000
"Bendik",5yKYCCPlhZ,2025-06-18T21:30:34.682Z,2025-06-18T22:52:13.834Z,2000,6327,0,4327
"bigbro",nfTAzRE_ZR,2025-06-18T21:30:34.678Z,2025-06-18T23:16:48.778Z,2000,4634,0,2634
"Mølly",C-cWDKRhWw,2025-06-18T20:51:42.460Z,2025-06-18T22:13:36.816Z,6000,0,0,-6000
"Mølly",C-cWDKRhWw,2025-06-18T19:59:11.066Z,2025-06-18T20:50:08.113Z,1908,0,0,-1908
"Yung Cuck",EVlahUHEtM,2025-06-18T19:51:41.622Z,,8000,6000,21108,19108
"Møll",2-UaFqsVVA,2025-06-18T19:38:45.260Z,2025-06-18T19:51:41.618Z,2000,1908,0,-92
"Lama",8D_AjLhkhA,2025-06-18T19:36:11.565Z,2025-06-18T23:19:41.678Z,3000,6931,0,3931
"Tarriern",BRdibe6rnP,2025-06-18T19:36:11.574Z,2025-06-18T22:19:50.855Z,6000,0,0,-6000
"Bolla",wLc3YwHZdZ,2025-06-18T19:36:11.579Z,2025-06-18T22:13:36.811Z,4000,0,0,-4000
"Krautern",ehyqeI4GS7,2025-06-18T19:36:11.570Z,2025-06-18T22:57:07.229Z,10000,0,0,-10000
