player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Krautern",ehyqeI4GS7,2025-09-03T19:02:41.664Z,,2000,,2622,622
"Gøss",yw64lPIRGk,2025-09-03T18:33:54.896Z,,2000,,4217,2217
"Gøss",yw64lPIRGk,2025-09-03T18:10:38.752Z,2025-09-03T18:31:55.322Z,2000,0,0,-2000
"greenguy",nfTAzRE_ZR,2025-09-03T18:07:49.473Z,,2000,,6243,4243
"Oli",QsOTW2F-8L,2025-09-03T18:01:00.463Z,2025-09-03T19:11:27.519Z,2000,0,0,-2000
"Lassedasse",BxfYp6OeUJ,2025-09-03T17:59:53.684Z,2025-09-03T18:51:42.607Z,2000,0,0,-2000
"Semen",cNApMdaPeS,2025-09-03T17:54:55.165Z,2025-09-03T20:41:38.851Z,4000,3138,0,-862
"Simen",l10UED_YgZ,2025-09-03T17:53:30.755Z,2025-09-03T17:54:55.163Z,2000,1980,0,-20
"mag",cqPRoYf5yP,2025-09-03T17:53:30.750Z,,2000,,3800,1800
"Gøss",yw64lPIRGk,2025-09-03T17:53:30.743Z,2025-09-03T18:07:49.469Z,2000,0,0,-2000
