player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"greenguy",dfrMVnW4nY,2025-08-12T00:32:24.470Z,2025-08-12T00:43:21.962Z,2000,0,0,-2000
"Adrian",8J9-5tmaXr,2025-08-11T22:21:26.919Z,2025-08-11T23:56:32.545Z,2000,0,0,-2000
"Lama",NHwnhDTCDx,2025-08-11T22:12:14.299Z,,2000,,8837,6837
"Bendik",sXG204kdid,2025-08-11T21:34:33.926Z,,2000,,4674,2674
"Adrian",8J9-5tmaXr,2025-08-11T21:25:08.961Z,2025-08-11T22:20:16.327Z,2000,0,0,-2000
"greenguy",dfrMVnW4nY,2025-08-11T21:23:26.321Z,2025-08-12T00:31:27.362Z,2000,0,0,-2000
"S1men",43RLVYD2U4,2025-08-11T21:09:50.395Z,,2215,,10489,8274
"Nitty gritty",2MB8pQo5Kw,2025-08-11T21:09:50.400Z,2025-08-11T22:47:21.849Z,2000,0,0,-2000
"Nitty gritty",2MB8pQo5Kw,2025-08-11T20:15:14.200Z,2025-08-11T20:50:12.493Z,2000,0,0,-2000
"Bendik",sXG204kdid,2025-08-11T20:13:50.446Z,2025-08-11T21:33:44.582Z,2000,0,0,-2000
"Krautern",0kZMjhB-dW,2025-08-11T20:05:16.081Z,2025-08-11T23:14:51.646Z,2000,0,0,-2000
"Nitty gritty",2MB8pQo5Kw,2025-08-11T20:05:16.084Z,2025-08-11T20:13:50.439Z,2000,0,0,-2000
"Simen",d5TbfkUJFl,2025-08-11T20:05:16.078Z,2025-08-11T21:09:46.860Z,2000,2215,0,215
