player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"bigbro",tioQFrKEkB,2025-06-23T22:33:18.664Z,,2000,,4120,2120
"Krautern",ehyqeI4GS7,2025-06-23T21:51:01.486Z,2025-06-23T22:40:28.899Z,2000,0,0,-2000
"HHØ",undXu7pTIt,2025-06-23T20:27:59.155Z,2025-06-23T22:10:47.984Z,2000,5367,0,3367
"Bendik",jYM-AUdVwV,2025-06-23T20:17:37.344Z,2025-06-23T23:15:46.273Z,4775,4319,0,-456
"bigbro",tioQFrKEkB,2025-06-23T20:13:57.911Z,2025-06-23T20:35:28.522Z,2000,0,0,-2000
"YungCuck",EVlahUHEtM,2025-06-23T20:07:12.482Z,2025-06-23T21:12:04.778Z,4000,0,0,-4000
"Kabelmannen",wLc3YwHZdZ,2025-06-23T19:53:43.648Z,2025-06-23T23:15:46.268Z,2000,5727,0,3727
"LamaPirat☠️",8D_AjLhkhA,2025-06-23T19:03:21.629Z,2025-06-23T23:14:46.039Z,4000,0,0,-4000
"YungCuck",EVlahUHEtM,2025-06-23T18:50:52.345Z,2025-06-23T20:06:17.346Z,4000,0,0,-4000
"Tarriern",BRdibe6rnP,2025-06-23T18:47:23.934Z,2025-06-23T21:16:03.957Z,2000,8347,0,6347
"Ben",XE0rZldDsc,2025-06-23T18:46:26.670Z,2025-06-23T20:16:14.949Z,2000,2775,0,775
"Kabelmannen",wLc3YwHZdZ,2025-06-23T18:27:01.232Z,2025-06-23T19:52:28.234Z,2000,0,0,-2000
"LamaPirat☠️",8D_AjLhkhA,2025-06-23T18:27:01.227Z,2025-06-23T19:02:41.914Z,2000,0,0,-2000
"Møllzy",C-cWDKRhWw,2025-06-23T18:27:01.219Z,2025-06-23T21:35:32.074Z,4000,12120,0,8120
"Tarriern",BRdibe6rnP,2025-06-23T18:27:01.223Z,2025-06-23T18:46:08.736Z,2000,0,0,-2000
"YungCuck",EVlahUHEtM,2025-06-23T18:27:01.215Z,2025-06-23T18:49:02.544Z,2000,0,0,-2000
