player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"greenguy",tioQFrKEkB,2025-07-30T23:15:05.598Z,,2000,,3672,1672
"Øde",wLc3YwHZdZ,2025-07-30T22:32:48.402Z,2025-07-31T00:11:36.393Z,2000,6314,0,4314
"🍠",oHa7Zs_d9z,2025-07-30T22:03:49.282Z,2025-07-30T22:44:09.927Z,2000,4637,0,2637
"greenguy",tioQFrKEkB,2025-07-30T21:41:05.837Z,2025-07-30T23:11:13.171Z,2000,0,0,-2000
"Møll",C-cWDKRhWw,2025-07-30T21:31:31.716Z,2025-07-30T21:44:46.417Z,2000,0,0,-2000
"Lama",NHwnhDTCDx,2025-07-30T21:29:22.340Z,2025-07-31T00:11:25.701Z,2000,5422,0,3422
"Øde",wLc3YwHZdZ,2025-07-30T21:28:00.232Z,2025-07-30T22:30:36.867Z,2000,0,0,-2000
"🍠",oHa7Zs_d9z,2025-07-30T21:24:30.236Z,2025-07-30T22:02:07.760Z,2000,0,0,-2000
"Krautern2",0kZMjhB-dW,2025-07-30T21:10:33.878Z,2025-07-30T22:35:23.974Z,2000,3098,0,1098
"Møll",C-cWDKRhWw,2025-07-30T21:10:33.869Z,2025-07-30T21:29:02.481Z,2000,0,0,-2000
"greenguy",tioQFrKEkB,2025-07-30T21:10:33.875Z,2025-07-30T21:39:26.594Z,2000,0,0,-2000
"🍠",oHa7Zs_d9z,2025-07-30T21:10:33.881Z,2025-07-30T21:21:43.395Z,2000,0,0,-2000
"Øde",wLc3YwHZdZ,2025-07-30T21:10:33.857Z,2025-07-30T21:26:34.206Z,2000,0,0,-2000
"Tarriern",Vlz9_uY7i5,2025-07-30T21:10:33.864Z,2025-07-30T22:11:34.954Z,2000,0,0,-2000
"Krautern",x4IInC9th5,,2025-07-30T21:10:12.625Z,2000,2000,0,0
"Nitty dicky",ccJkgMj9Bt,2025-07-30T21:10:33.886Z,2025-07-30T22:41:37.868Z,2000,6857,0,4857
"Øde",wLc3YwHZdZ,,2025-07-30T21:06:55.191Z,2000,2000,0,0
"Tarriern",BRdibe6rnP,,2025-07-30T18:30:48.029Z,2000,2000,0,0
"Nitty dicky",ccJkgMj9Bt,,2025-07-30T21:07:18.247Z,2000,2000,0,0
"Ødda",lgtQAQu1XK,,2025-07-30T17:36:49.826Z,2000,2000,0,0
