player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Schef",nfTAzRE_ZR,2025-07-24T22:42:51.240Z,2025-07-24T23:56:47.989Z,2000,0,0,-2000
"Schef",nfTAzRE_ZR,2025-07-24T22:25:51.831Z,2025-07-24T22:41:34.812Z,2000,0,0,-2000
"Schef",nfTAzRE_ZR,2025-07-24T21:49:01.107Z,2025-07-24T22:23:47.183Z,2000,0,0,-2000
"Big Baller",fnUqhsK6mA,2025-07-24T21:41:57.220Z,2025-07-24T22:14:45.410Z,2000,0,0,-2000
"Steamern",BRdibe6rnP,2025-07-24T21:28:53.423Z,2025-07-24T22:18:36.011Z,2000,6530,0,4530
"Lama",NHwnhDTCDx,2025-07-24T21:24:40.849Z,2025-07-24T23:27:31.569Z,2000,2916,0,916
"Viffern",BRdibe6rnP,2025-07-24T21:18:46.674Z,2025-07-24T21:24:40.844Z,2000,0,0,-2000
"Schef",nfTAzRE_ZR,2025-07-24T21:17:05.402Z,2025-07-24T21:48:21.762Z,2000,0,0,-2000
"🍠",oHa7Zs_d9z,2025-07-24T20:50:03.311Z,,2000,,14653,12653
"Møllzy",C-cWDKRhWw,2025-07-24T20:34:46.997Z,2025-07-24T21:36:14.598Z,2000,0,0,-2000
"Simen",ugWEGjXfR9,2025-07-24T20:31:40.450Z,,2000,,5882,3882
"Viffern",BRdibe6rnP,2025-07-24T20:30:55.976Z,2025-07-24T21:17:05.398Z,2000,0,0,-2000
"Schef",nfTAzRE_ZR,2025-07-24T20:28:43.245Z,2025-07-24T21:15:46.151Z,2000,0,0,-2000
"Big Baller",fnUqhsK6mA,2025-07-24T20:20:22.942Z,2025-07-24T21:32:54.826Z,2000,0,0,-2000
"Viffern",BRdibe6rnP,2025-07-24T20:16:31.652Z,2025-07-24T20:30:27.182Z,2000,0,0,-2000
"Big Baller",fnUqhsK6mA,2025-07-24T20:16:31.638Z,2025-07-24T20:19:10.163Z,2000,0,0,-2000
"🍠",oHa7Zs_d9z,2025-07-24T20:16:31.646Z,2025-07-24T20:48:55.933Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-07-24T20:16:31.632Z,2025-07-24T23:21:52.325Z,2000,6019,0,4019
