player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Scheffler",tioQFrKEkB,2025-07-23T22:00:28.440Z,2025-07-23T22:21:50.058Z,2000,3371,0,1371
"Scheffler",tioQFrKEkB,2025-07-23T21:54:21.669Z,2025-07-23T21:58:16.818Z,2000,0,0,-2000
"Simen",nXDYM9Gy-k,2025-07-23T21:47:58.669Z,,2000,,1232,-768
"Scheffler",tioQFrKEkB,2025-07-23T21:33:34.862Z,2025-07-23T21:52:00.900Z,2000,0,0,-2000
"Viffern",BRdibe6rnP,2025-07-23T21:23:57.007Z,2025-07-23T22:12:45.519Z,2000,10139,0,8139
"Scheffler",tioQFrKEkB,2025-07-23T21:00:46.771Z,2025-07-23T21:31:00.607Z,2000,0,0,-2000
"🍠",oHa7Zs_d9z,2025-07-23T20:59:25.254Z,2025-07-23T22:21:35.466Z,2000,13547,0,11547
"Big Baller",wLr9zY_WXL,2025-07-23T20:41:29.015Z,2025-07-23T21:58:16.825Z,2000,0,0,-2000
"Viffern",BRdibe6rnP,2025-07-23T20:32:30.771Z,2025-07-23T21:22:10.635Z,2000,0,0,-2000
"🍠",oHa7Zs_d9z,2025-07-23T20:27:03.227Z,2025-07-23T20:58:33.320Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-07-23T20:10:55.616Z,2025-07-23T22:14:37.629Z,2000,0,0,-2000
"Viffern",BRdibe6rnP,2025-07-23T20:00:49.276Z,2025-07-23T20:30:41.421Z,2000,0,0,-2000
"Lama",NHwnhDTCDx,2025-07-23T20:00:49.273Z,2025-07-23T20:57:03.293Z,2000,5711,0,3711
"Scheffler",tioQFrKEkB,2025-07-23T19:35:48.243Z,2025-07-23T20:58:33.313Z,2000,0,0,-2000
"Big Baller",wLr9zY_WXL,2025-07-23T19:30:49.504Z,2025-07-23T20:37:11.854Z,2000,0,0,-2000
"🍠",oHa7Zs_d9z,2025-07-23T19:30:49.507Z,2025-07-23T20:25:34.974Z,2000,0,0,-2000
"Scheffler",tioQFrKEkB,2025-07-23T19:30:49.501Z,2025-07-23T19:35:35.425Z,2000,0,0,-2000
