player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Simen",p1AnogX8Q0,2025-09-10T18:38:06.386Z,,2000,,2930,930
"Gøss",yw64lPIRGk,2025-09-10T18:26:46.908Z,,4000,,2993,-1007
"Sim1",p1AnogX8Q0,2025-09-10T18:21:17.918Z,2025-09-10T18:35:17.478Z,2476,0,0,-2476
"David",6-CToMa5uR,2025-09-10T18:00:37.507Z,2025-09-10T19:27:13.208Z,2000,0,0,-2000
"David",6-CToMa5uR,2025-09-10T17:55:53.125Z,2025-09-10T17:58:13.215Z,2000,0,0,-2000
"lasse",BxfYp6OeUJ,2025-09-10T17:21:41.895Z,2025-09-10T20:01:23.678Z,2000,6340,0,4340
"lasse",BxfYp6OeUJ,2025-09-10T17:08:38.508Z,2025-09-10T17:19:30.810Z,2000,0,0,-2000
"Gøss",yw64lPIRGk,2025-09-10T17:01:16.861Z,2025-09-10T18:23:50.861Z,3000,0,0,-3000
"greenguy",Qt4m7ehO_F,2025-09-10T16:59:26.049Z,,2000,,8139,6139
"greenguy",Qt4m7ehO_F,2025-09-10T16:26:21.996Z,2025-09-10T16:57:55.832Z,2000,0,0,-2000
"Gøss",yw64lPIRGk,2025-09-10T16:11:59.948Z,2025-09-10T16:56:11.927Z,2000,0,0,-2000
"Mag",Qd4daMbTQ4,2025-09-10T16:10:42.959Z,,2000,,11598,9598
"greenguy",Qt4m7ehO_F,2025-09-10T16:10:42.957Z,2025-09-10T16:24:11.787Z,2000,0,0,-2000
"Simen",cNApMdaPeS,2025-09-10T16:10:42.954Z,2025-09-10T18:21:17.914Z,2000,2476,0,476
"Krautern",ehyqeI4GS7,2025-09-10T16:10:42.952Z,2025-09-10T20:37:26.318Z,3000,0,0,-3000
