player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Oli",QsOTW2F-8L,2025-08-15T17:10:52.602Z,2025-08-15T17:23:50.868Z,2000,0,0,-2000
"Oli",QsOTW2F-8L,2025-08-15T16:58:45.462Z,2025-08-15T17:07:18.447Z,2000,0,0,-2000
"greenguy",dfrMVnW4nY,2025-08-15T16:11:37.542Z,,2000,,6659,4659
"Slegga",43RLVYD2U4,2025-08-15T16:07:01.043Z,,2000,,3711,1711
"Gritty nitty",BxfYp6OeUJ,2025-08-15T15:47:31.513Z,,2000,,2764,764
"Slegga",43RLVYD2U4,2025-08-15T15:00:19.350Z,2025-08-15T16:05:48.435Z,1900,0,0,-1900
"Simen",ME3gpYZSzv,2025-08-15T14:52:34.596Z,2025-08-15T15:00:56.663Z,2000,1890,0,-110
"Greenguy",dfrMVnW4nY,2025-08-15T14:52:34.598Z,2025-08-15T16:07:43.021Z,2000,0,0,-2000
"greenguy",ErnO82Vruc,,2025-08-15T14:51:47.276Z,2000,2000,0,0
"Gritty nitty",BxfYp6OeUJ,2025-08-15T14:52:34.601Z,2025-08-15T15:45:20.717Z,2000,0,0,-2000
"Oli",QsOTW2F-8L,2025-08-15T14:52:34.594Z,2025-08-15T16:57:33.031Z,2000,0,0,-2000
"Gøss",yw64lPIRGk,2025-08-15T14:52:34.590Z,,2000,,6876,4876
