player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"greenguy",dfrMVnW4nY,2025-08-12T22:56:03.810Z,2025-08-12T23:11:55.636Z,2000,0,0,-2000
"greenguy",dfrMVnW4nY,2025-08-12T22:36:40.921Z,2025-08-12T22:54:46.547Z,2000,0,0,-2000
"Slegga",43RLVYD2U4,2025-08-12T22:02:53.118Z,,2000,,2959,959
"Slegga",43RLVYD2U4,2025-08-12T21:58:35.686Z,2025-08-12T22:02:26.827Z,862,0,0,-862
"Simen",TjYI75ZHVu,2025-08-12T21:37:12.138Z,2025-08-12T21:58:35.681Z,2000,862,0,-1138
"gguy",dfrMVnW4nY,2025-08-12T21:29:56.101Z,2025-08-12T22:35:22.160Z,2000,0,0,-2000
"Bendik",8s00IonoBr,2025-08-12T21:29:56.106Z,2025-08-12T22:54:46.541Z,2000,0,0,-2000
"Gøss🙂‍↔️",NHwnhDTCDx,2025-08-12T21:29:56.104Z,,4600,,10717,6117
"greenguy",tw0xVmVeFc,,2025-08-12T21:28:08.991Z,2000,2000,0,0
"Krautern",ehyqeI4GS7,2025-08-12T21:29:56.110Z,,2000,,4924,2924
