player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Tarriern",BRdibe6rnP,2025-06-16T21:28:48.552Z,2025-06-16T21:56:42.789Z,2000,0,0,-2000
"Møllern",C-cWDKRhWw,2025-06-16T21:17:18.867Z,2025-06-16T21:56:42.782Z,2000,0,0,-2000
"Tarriern",BRdibe6rnP,2025-06-16T21:08:56.297Z,2025-06-16T21:27:24.876Z,2000,0,0,-2000
"Tarriern",BRdibe6rnP,2025-06-16T20:58:04.672Z,2025-06-16T21:06:50.635Z,2000,0,0,-2000
"Møllern",C-cWDKRhWw,2025-06-16T20:41:07.226Z,2025-06-16T21:16:36.532Z,2000,0,0,-2000
"Gustav",8D_AjLhkhA,2025-06-16T20:28:23.033Z,,2000,,6674,4674
"Tarriern",BRdibe6rnP,2025-06-16T20:13:05.181Z,2025-06-16T20:57:15.530Z,2000,0,0,-2000
"Tarriern",BRdibe6rnP,2025-06-16T19:49:21.068Z,2025-06-16T20:11:04.157Z,4000,0,0,-4000
"Øgla",wLc3YwHZdZ,2025-06-16T19:49:21.079Z,,4000,,10663,6663
"Møllern",C-cWDKRhWw,2025-06-16T19:49:21.075Z,2025-06-16T20:40:02.714Z,2000,0,0,-2000
"Kratuern",ehyqeI4GS7,2025-06-16T19:49:21.072Z,,2000,,8663,6663
