player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"greenguy",dfrMVnW4nY,2025-08-14T22:30:02.849Z,2025-08-15T00:29:02.213Z,2000,0,0,-2000
"greenguy",dfrMVnW4nY,2025-08-14T22:10:54.028Z,2025-08-14T22:24:56.628Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-08-14T21:59:03.180Z,2025-08-14T22:12:59.709Z,2000,0,0,-2000
"greenguy",dfrMVnW4nY,2025-08-14T21:58:07.314Z,2025-08-14T22:06:50.404Z,2000,0,0,-2000
"greenguy",dfrMVnW4nY,2025-08-14T21:52:18.968Z,2025-08-14T21:54:09.813Z,2000,0,0,-2000
"Slegga",43RLVYD2U4,2025-08-14T21:50:11.630Z,2025-08-15T00:32:00.317Z,8455,4895,0,-3560
"Krautern",ehyqeI4GS7,2025-08-14T21:36:55.129Z,2025-08-14T21:47:15.390Z,2000,0,0,-2000
"mag",Qd4daMbTQ4,2025-08-14T21:32:27.761Z,,2000,,6909,4909
"Gøss",yw64lPIRGk,2025-08-14T20:46:48.777Z,,4000,,15985,11985
"Oli",Jp1Cti1Oy3,2025-08-14T20:45:09.782Z,2025-08-14T22:03:40.989Z,2000,4481,0,2481
"greenguy",dfrMVnW4nY,2025-08-14T20:38:47.163Z,2025-08-14T21:50:11.601Z,2000,0,0,-2000
"Oli",Jp1Cti1Oy3,2025-08-14T20:32:03.323Z,2025-08-14T20:42:52.619Z,2000,0,0,-2000
"Simen",bWJeKjD0rn,2025-08-14T20:12:23.599Z,2025-08-14T21:50:11.606Z,2000,8455,0,6455
"Oli",Jp1Cti1Oy3,2025-08-14T20:12:23.590Z,2025-08-14T20:29:48.320Z,2000,0,0,-2000
"greenguy",dfrMVnW4nY,2025-08-14T20:12:23.595Z,2025-08-14T20:37:33.391Z,2000,0,0,-2000
"Gøss",yw64lPIRGk,2025-08-14T20:12:23.584Z,2025-08-14T20:45:09.778Z,7140,4870,0,-2270
