player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"bigbro",tioQFrKEkB,2025-06-22T23:01:00.140Z,2025-06-22T23:26:43.721Z,2000,0,0,-2000
"Bendik",XE0rZldDsc,2025-06-22T22:42:35.859Z,,2000,,10846,8846
"bigbro",tioQFrKEkB,2025-06-22T22:02:33.817Z,2025-06-22T22:42:35.855Z,2000,0,0,-2000
"bigbro",tioQFrKEkB,2025-06-22T21:38:26.717Z,2025-06-22T21:49:37.462Z,2000,0,0,-2000
"Krautern2",ehyqeI4GS7,2025-06-22T21:06:23.700Z,2025-06-22T23:19:04.758Z,2800,0,0,-2800
"Bendik",XE0rZldDsc,2025-06-22T21:08:02.786Z,2025-06-22T22:37:29.674Z,2000,0,0,-2000
"Krautern",hh4knBoPRD,2025-06-22T20:53:00.190Z,2025-06-22T21:08:02.778Z,2000,2800,0,800
"bigbro",tioQFrKEkB,2025-06-22T20:51:46.745Z,2025-06-22T21:34:47.363Z,2000,0,0,-2000
"Tarriern",BRdibe6rnP,2025-06-22T20:42:54.221Z,2025-06-22T21:27:31.018Z,2000,0,0,-2000
"Tarriern",BRdibe6rnP,2025-06-22T20:29:01.273Z,2025-06-22T20:41:44.607Z,2000,0,0,-2000
"Møll",C-cWDKRhWw,2025-06-22T20:07:07.644Z,2025-06-22T21:49:37.466Z,2000,5939,0,3939
"Bendik",XE0rZldDsc,2025-06-22T19:57:02.472Z,2025-06-22T21:04:39.016Z,2000,0,0,-2000
"Tarriern",BRdibe6rnP,2025-06-22T19:38:14.886Z,2025-06-22T20:28:20.676Z,2000,0,0,-2000
"Tarriern",BRdibe6rnP,2025-06-22T19:32:16.719Z,2025-06-22T19:37:21.218Z,2000,0,0,-2000
"Bendik",XE0rZldDsc,2025-06-22T19:27:32.956Z,2025-06-22T19:56:34.417Z,2000,0,0,-2000
"Lama",8D_AjLhkhA,2025-06-22T19:21:22.408Z,2025-06-22T23:36:19.061Z,2000,9255,0,7255
"Simen",wLc3YwHZdZ,2025-06-22T19:19:38.055Z,2025-06-22T23:36:47.088Z,2000,0,0,-2000
"Tarriern",BRdibe6rnP,2025-06-22T19:19:38.052Z,2025-06-22T19:31:42.393Z,2000,0,0,-2000
"Lama",8D_AjLhkhA,2025-06-22T18:56:30.396Z,2025-06-22T19:20:41.588Z,2000,0,0,-2000
"Møll",C-cWDKRhWw,2025-06-22T18:56:30.384Z,2025-06-22T20:05:32.594Z,2000,0,0,-2000
"YungCuck",EVlahUHEtM,2025-06-22T18:56:30.393Z,2025-06-22T23:36:19.053Z,2000,15960,0,13960
"Tarriern",BRdibe6rnP,2025-06-22T18:56:30.389Z,2025-06-22T19:17:28.510Z,2000,0,0,-2000
