player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"greenguy",dfrMVnW4nY,2025-08-17T22:37:19.524Z,,4000,,2246,-1754
"greenguy",dfrMVnW4nY,2025-08-17T21:38:07.699Z,2025-08-17T22:34:38.391Z,2000,0,0,-2000
"Oli",Jp1Cti1Oy3,2025-08-17T20:45:08.823Z,,2000,,1509,-491
"Nitty sticky",BxfYp6OeUJ,2025-08-17T20:30:56.757Z,2025-08-17T21:25:39.525Z,2000,0,0,-2000
"mag",cqPRoYf5yP,2025-08-17T20:00:18.651Z,,2000,,3838,1838
"greenguy",dfrMVnW4nY,2025-08-17T19:56:20.563Z,2025-08-17T20:42:13.520Z,2000,0,0,-2000
"Krautern",ehyqeI4GS7,2025-08-17T19:53:55.438Z,,2000,,5606,3606
"mag",cqPRoYf5yP,2025-08-17T19:42:25.010Z,2025-08-17T19:58:47.294Z,2000,0,0,-2000
"Simen",43RLVYD2U4,2025-08-17T19:42:25.004Z,,2000,5450,2208,5658
"Oli",Jp1Cti1Oy3,2025-08-17T19:42:25.007Z,2025-08-17T20:42:13.515Z,2000,0,0,-2000
"Gøss",NHwnhDTCDx,2025-08-17T19:42:25.000Z,,4000,,5143,1143
